Fraction_Size	Depth	Lakes_names	Assembly	 contigs (>= 0 bp)	 contigs (>= 1000 bp)	 contigs (>= 5000 bp)	 contigs (>= 10000 bp)	 contigs (>= 25000 bp)	 contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	 contigs	Largest contig	Total length	N50	N90	auN	L50	L90	 N's per 100 kbp
S	H	ATTR	ATTRH-SM-26apr22.megahit.nv.contigs	3341105	325181	24593	7897	1735	392	2037825621	816713796	280028503	167109783	75181733	29671426	1014150	252013	1285007742	1449	594	6178.4	178520	777792	0.00
			
S	E	AYDT	AYDTE-SM-23may22.megahit.nv.contigs	2257786	356584	22165	7941	1963	558	1749200898	864120035	283573662	187354169	98703924	50901900	1035746	379212	1330342371	1450	606	8754.5	189339	793828	0.00
S	E	AYDT	AYDTE-SM-23sep21.megahit.nv.contigs	2651860	399634	32705	10817	2303	595	2077948084	1053209013	385227586	236874444	111900408	53902563	1148948	704510	1562626915	1667	605	9177.9	184423	864667	0.00
S	H	AYDT	AYDTH-SM-23may22.megahit.nv.contigs	2227213	328111	27331	9433	2199	625	1748746054	886502474	337239412	216070063	108763800	55429144	952343	498415	1311502783	1706	609	9620.3	147097	714227	0.00
S	H	AYDT	AYDTH-SM-23sep21.megahit.nv.contigs	2505117	373124	30931	10390	2431	670	1970946800	995417259	377938522	238528513	120599182	60987028	1090594	621374	1484163622	1653	607	9973.1	171696	820818	0.00
			
L	1	BALM	BALM1-LM-27jul20.megahit.nv.contigs	3078054	386528	34684	12081	2555	622	2221735837	1043345390	408041924	253690694	112892470	47982629	1180582	305324	1581733091	1620	600	7372.8	183835	891232	0.00
S	1	BALM	BALM1-SM-06apr22.megahit.nv.contigs	1834135	288753	28965	10031	2168	513	1516276236	823653314	340873658	212507468	96548580	40667557	782579	294157	1160612176	1989	623	8545.5	109848	574366	0.00
S	1	BALM	BALM1-SM-27jul20.megahit.nv.contigs	2322152	250095	25398	9632	2430	684	1574825726	740150903	328979205	221361329	114742649	55390430	732182	290413	1067500015	1934	613	10331.9	95978	538847	0.00
